demographic_averages,demographic_counts,epno,score_counts,sid
"{'Males': 6.3, 'Females': 6.2, 'Aged 18-29': 6.5, 'Males Aged 18-29': 6.7, 'Aged 30-44': 6.3, 'Males Aged 30-44': 6.6, 'Females Aged 30-44': 4.0, 'Aged 45+': 6.0, 'Males Aged 45+': 5.3, 'Females Aged 45+': 8.5, 'Top 1000 voters': 5.5, 'US users': 6.1, 'Non-US users': 6.2, 'IMDb users': 6.4}","{'Males': 21, 'Females': 4, 'Aged 18-29': 4, 'Males Aged 18-29': 3, 'Aged 30-44': 14, 'Males Aged 30-44': 12, 'Females Aged 30-44': 2, 'Aged 45+': 8, 'Males Aged 45+': 6, 'Females Aged 45+': 2, 'Top 1000 voters': 13, 'US users': 19, 'Non-US users': 4, 'IMDb users': 33}",9,"{'10': 3, '9': 2, '8': 1, '7': 12, '6': 7, '5': 4, '4': 0, '3': 2, '2': 0, '1': 2}",18
"{'Males': 6.4, 'Females': 6.5, 'Aged 18-29': 7.8, 'Males Aged 18-29': 8.3, 'Females Aged 18-29': 6.0, 'Aged 30-44': 6.0, 'Males Aged 30-44': 6.1, 'Females Aged 30-44': 4.5, 'Aged 45+': 6.5, 'Males Aged 45+': 5.9, 'Females Aged 45+': 9.0, 'Top 1000 voters': 6.0, 'US users': 6.1, 'Non-US users': 6.3, 'IMDb users': 6.2}","{'Males': 19, 'Females': 5, 'Aged 18-29': 4, 'Males Aged 18-29': 3, 'Females Aged 18-29': 1, 'Aged 30-44': 12, 'Males Aged 30-44': 10, 'Females Aged 30-44': 2, 'Aged 45+': 8, 'Males Aged 45+': 6, 'Females Aged 45+': 2, 'Top 1000 voters': 11, 'US users': 18, 'Non-US users': 3, 'IMDb users': 28}",8,"{'10': 2, '9': 0, '8': 3, '7': 8, '6': 8, '5': 5, '4': 0, '3': 0, '2': 0, '1': 2}",18
"{'Males': 5.5, 'Females': 4.4, 'Aged 18-29': 5.6, 'Males Aged 18-29': 6.3, 'Females Aged 18-29': 3.0, 'Aged 30-44': 5.3, 'Males Aged 30-44': 5.7, 'Females Aged 30-44': 1.0, 'Aged 45+': 5.7, 'Males Aged 45+': 5.0, 'Females Aged 45+': 9.0, 'Top 1000 voters': 5.3, 'US users': 5.1, 'Non-US users': 6.2, 'IMDb users': 5.5}","{'Males': 22, 'Females': 5, 'Aged 18-29': 6, 'Males Aged 18-29': 3, 'Females Aged 18-29': 2, 'Aged 30-44': 13, 'Males Aged 30-44': 12, 'Females Aged 30-44': 1, 'Aged 45+': 9, 'Males Aged 45+': 7, 'Females Aged 45+': 2, 'Top 1000 voters': 13, 'US users': 21, 'Non-US users': 4, 'IMDb users': 33}",7,"{'10': 2, '9': 1, '8': 2, '7': 6, '6': 8, '5': 6, '4': 2, '3': 2, '2': 0, '1': 4}",18
"{'Males': 5.1, 'Females': 6.2, 'Aged 18-29': 4.2, 'Males Aged 18-29': 4.0, 'Females Aged 18-29': 5.0, 'Aged 30-44': 4.8, 'Males Aged 30-44': 5.1, 'Females Aged 30-44': 1.0, 'Aged 45+': 5.7, 'Males Aged 45+': 4.7, 'Females Aged 45+': 9.5, 'Top 1000 voters': 5.2, 'US users': 5.3, 'Non-US users': 4.1, 'IMDb users': 5.1}","{'Males': 17, 'Females': 4, 'Aged 18-29': 4, 'Males Aged 18-29': 3, 'Females Aged 18-29': 1, 'Aged 30-44': 10, 'Males Aged 30-44': 9, 'Females Aged 30-44': 1, 'Aged 45+': 7, 'Males Aged 45+': 5, 'Females Aged 45+': 2, 'Top 1000 voters': 12, 'US users': 14, 'Non-US users': 5, 'IMDb users': 26}",6,"{'10': 1, '9': 1, '8': 0, '7': 3, '6': 5, '5': 8, '4': 5, '3': 0, '2': 0, '1': 3}",18
"{'Males': 7.4, 'Females': 8.0, 'Aged 18-29': 8.6, 'Males Aged 18-29': 9.5, 'Females Aged 18-29': 6.0, 'Aged 30-44': 6.7, 'Males Aged 30-44': 6.7, 'Aged 45+': 6.8, 'Males Aged 45+': 6.3, 'Females Aged 45+': 9.0, 'Top 1000 voters': 6.5, 'US users': 7.2, 'Non-US users': 7.1, 'IMDb users': 7.2}","{'Males': 25, 'Females': 3, 'Aged 18-29': 7, 'Males Aged 18-29': 5, 'Females Aged 18-29': 1, 'Aged 30-44': 13, 'Males Aged 30-44': 13, 'Aged 45+': 8, 'Males Aged 45+': 6, 'Females Aged 45+': 2, 'Top 1000 voters': 14, 'US users': 19, 'Non-US users': 5, 'IMDb users': 37}",5,"{'10': 8, '9': 2, '8': 4, '7': 10, '6': 6, '5': 4, '4': 0, '3': 3, '2': 0, '1': 0}",18
"{'Males': 7.0, 'Females': 6.2, 'Aged 18-29': 6.9, 'Males Aged 18-29': 7.0, 'Females Aged 18-29': 6.5, 'Aged 30-44': 6.8, 'Males Aged 30-44': 7.0, 'Females Aged 30-44': 1.0, 'Aged 45+': 6.8, 'Males Aged 45+': 6.1, 'Females Aged 45+': 9.0, 'Top 1000 voters': 7.1, 'US users': 6.8, 'Non-US users': 6.1, 'IMDb users': 6.8}","{'Males': 23, 'Females': 5, 'Aged 18-29': 7, 'Males Aged 18-29': 4, 'Females Aged 18-29': 2, 'Aged 30-44': 13, 'Males Aged 30-44': 12, 'Females Aged 30-44': 1, 'Aged 45+': 8, 'Males Aged 45+': 6, 'Females Aged 45+': 2, 'Top 1000 voters': 15, 'US users': 18, 'Non-US users': 5, 'IMDb users': 35}",4,"{'10': 4, '9': 1, '8': 7, '7': 10, '6': 6, '5': 5, '4': 0, '3': 0, '2': 0, '1': 2}",18
"{'Males': 8.1, 'Females': 7.6, 'Aged 18-29': 8.0, 'Males Aged 18-29': 7.7, 'Females Aged 18-29': 8.0, 'Aged 30-44': 7.9, 'Males Aged 30-44': 8.1, 'Females Aged 30-44': 6.4, 'Aged 45+': 8.3, 'Males Aged 45+': 7.9, 'Females Aged 45+': 9.0, 'Top 1000 voters': 7.5, 'US users': 7.6, 'Non-US users': 8.5, 'IMDb users': 7.7}","{'Males': 26, 'Females': 10, 'Aged 18-29': 9, 'Males Aged 18-29': 5, 'Females Aged 18-29': 3, 'Aged 30-44': 21, 'Males Aged 30-44': 16, 'Females Aged 30-44': 5, 'Aged 45+': 7, 'Males Aged 45+': 5, 'Females Aged 45+': 2, 'Top 1000 voters': 14, 'US users': 24, 'Non-US users': 7, 'IMDb users': 45}",3,"{'10': 12, '9': 4, '8': 11, '7': 9, '6': 3, '5': 3, '4': 0, '3': 1, '2': 0, '1': 2}",18
"{'Males': 7.0, 'Females': 6.6, 'Aged 18-29': 6.9, 'Males Aged 18-29': 7.0, 'Females Aged 18-29': 6.0, 'Aged 30-44': 6.7, 'Males Aged 30-44': 7.1, 'Females Aged 30-44': 4.0, 'Aged 45+': 7.2, 'Males Aged 45+': 6.4, 'Females Aged 45+': 9.3, 'Top 1000 voters': 6.9, 'US users': 6.7, 'Non-US users': 6.9, 'IMDb users': 6.7}","{'Males': 29, 'Females': 7, 'Aged 18-29': 7, 'Males Aged 18-29': 4, 'Females Aged 18-29': 2, 'Aged 30-44': 20, 'Males Aged 30-44': 18, 'Females Aged 30-44': 2, 'Aged 45+': 10, 'Males Aged 45+': 7, 'Females Aged 45+': 3, 'Top 1000 voters': 13, 'US users': 24, 'Non-US users': 9, 'IMDb users': 41}",2,"{'10': 7, '9': 2, '8': 3, '7': 12, '6': 6, '5': 8, '4': 0, '3': 0, '2': 0, '1': 3}",18
"{'Males': 6.8, 'Females': 5.0, 'Aged 18-29': 5.6, 'Males Aged 18-29': 7.5, 'Females Aged 18-29': 5.3, 'Aged 30-44': 6.4, 'Males Aged 30-44': 6.6, 'Females Aged 30-44': 4.0, 'Aged 45+': 7.1, 'Males Aged 45+': 6.8, 'Females Aged 45+': 9.0, 'Top 1000 voters': 6.2, 'US users': 6.4, 'Non-US users': 6.7, 'IMDb users': 6.5}","{'Males': 27, 'Females': 7, 'Aged 18-29': 6, 'Males Aged 18-29': 2, 'Females Aged 18-29': 3, 'Aged 30-44': 17, 'Males Aged 30-44': 15, 'Females Aged 30-44': 2, 'Aged 45+': 12, 'Males Aged 45+': 10, 'Females Aged 45+': 2, 'Top 1000 voters': 19, 'US users': 24, 'Non-US users': 8, 'IMDb users': 40}",1,"{'10': 6, '9': 1, '8': 7, '7': 4, '6': 9, '5': 8, '4': 2, '3': 0, '2': 0, '1': 3}",18
"{'Males': 6.1, 'Females': 6.4, 'Aged 18-29': 5.7, 'Males Aged 18-29': 5.2, 'Females Aged 18-29': 5.5, 'Aged 30-44': 6.7, 'Males Aged 30-44': 6.8, 'Females Aged 30-44': 6.5, 'Aged 45+': 5.8, 'Males Aged 45+': 5.1, 'Females Aged 45+': 8.5, 'Top 1000 voters': 6.4, 'US users': 6.0, 'Non-US users': 6.9, 'IMDb users': 6.3}","{'Males': 21, 'Females': 8, 'Aged 18-29': 7, 'Males Aged 18-29': 4, 'Females Aged 18-29': 2, 'Aged 30-44': 15, 'Males Aged 30-44': 11, 'Females Aged 30-44': 4, 'Aged 45+': 8, 'Males Aged 45+': 6, 'Females Aged 45+': 2, 'Top 1000 voters': 11, 'US users': 19, 'Non-US users': 6, 'IMDb users': 37}",0,"{'10': 6, '9': 0, '8': 3, '7': 10, '6': 5, '5': 9, '4': 0, '3': 0, '2': 1, '1': 3}",18
"{'Males': 7.0, 'Females': 1.0, 'Aged 18-29': 6.9, 'Males Aged 18-29': 8.2, 'Females Aged 18-29': 1.0, 'Aged 30-44': 4.0, 'Males Aged 30-44': 4.0, 'Aged 45+': 7.0, 'Males Aged 45+': 7.0, 'Top 1000 voters': 7.0, 'US users': 5.7, 'Non-US users': 9.0, 'IMDb users': 6.4}","{'Males': 9, 'Females': 1, 'Aged 18-29': 8, 'Males Aged 18-29': 6, 'Females Aged 18-29': 1, 'Aged 30-44': 2, 'Males Aged 30-44': 2, 'Aged 45+': 1, 'Males Aged 45+': 1, 'Top 1000 voters': 3, 'US users': 7, 'Non-US users': 1, 'IMDb users': 11}",0,"{'10': 2, '9': 1, '8': 1, '7': 1, '6': 2, '5': 1, '4': 2, '3': 0, '2': 0, '1': 1}",43
"{'Males': 7.7, 'Females': 6.8, 'Aged under 18': 8.5, 'Males under 18': 8.5, 'Aged 18-29': 7.7, 'Males Aged 18-29': 8.3, 'Females Aged 18-29': 3.8, 'Aged 30-44': 7.6, 'Males Aged 30-44': 7.3, 'Females Aged 30-44': 8.3, 'Aged 45+': 7.6, 'Males Aged 45+': 7.4, 'Females Aged 45+': 8.1, 'Top 1000 voters': 7.6, 'US users': 7.5, 'Non-US users': 7.8, 'IMDb users': 7.4}","{'Males': 93, 'Females': 23, 'Aged under 18': 2, 'Males under 18': 2, 'Aged 18-29': 41, 'Males Aged 18-29': 33, 'Females Aged 18-29': 6, 'Aged 30-44': 43, 'Males Aged 30-44': 33, 'Females Aged 30-44': 9, 'Aged 45+': 27, 'Males Aged 45+': 22, 'Females Aged 45+': 5, 'Top 1000 voters': 26, 'US users': 58, 'Non-US users': 41, 'IMDb users': 146}",20,"{'10': 32, '9': 16, '8': 26, '7': 37, '6': 17, '5': 2, '4': 1, '3': 1, '2': 2, '1': 12}",42
"{'Males': 6.7, 'Females': 6.7, 'Aged under 18': 7.0, 'Males under 18': 7.0, 'Aged 18-29': 6.7, 'Males Aged 18-29': 7.2, 'Females Aged 18-29': 3.9, 'Aged 30-44': 6.8, 'Males Aged 30-44': 6.4, 'Females Aged 30-44': 7.9, 'Aged 45+': 6.8, 'Males Aged 45+': 6.7, 'Females Aged 45+': 7.8, 'Top 1000 voters': 7.0, 'US users': 6.6, 'Non-US users': 7.2, 'IMDb users': 6.6}","{'Males': 94, 'Females': 24, 'Aged under 18': 1, 'Males under 18': 1, 'Aged 18-29': 37, 'Males Aged 18-29': 28, 'Females Aged 18-29': 7, 'Aged 30-44': 42, 'Males Aged 30-44': 32, 'Females Aged 30-44': 9, 'Aged 45+': 33, 'Males Aged 45+': 28, 'Females Aged 45+': 5, 'Top 1000 voters': 25, 'US users': 70, 'Non-US users': 33, 'IMDb users': 153}",19,"{'10': 23, '9': 3, '8': 30, '7': 35, '6': 24, '5': 9, '4': 3, '3': 3, '2': 5, '1': 18}",42
"{'Males': 6.0, 'Females': 6.5, 'Aged 18-29': 6.0, 'Males Aged 18-29': 6.2, 'Females Aged 18-29': 4.6, 'Aged 30-44': 6.0, 'Males Aged 30-44': 5.4, 'Females Aged 30-44': 7.4, 'Aged 45+': 6.5, 'Males Aged 45+': 6.5, 'Females Aged 45+': 6.3, 'Top 1000 voters': 6.8, 'US users': 6.0, 'Non-US users': 6.6, 'IMDb users': 5.9}","{'Males': 81, 'Females': 25, 'Aged 18-29': 36, 'Males Aged 18-29': 27, 'Females Aged 18-29': 6, 'Aged 30-44': 38, 'Males Aged 30-44': 24, 'Females Aged 30-44': 13, 'Aged 45+': 29, 'Males Aged 45+': 26, 'Females Aged 45+': 3, 'Top 1000 voters': 20, 'US users': 56, 'Non-US users': 32, 'IMDb users': 141}",18,"{'10': 16, '9': 5, '8': 17, '7': 27, '6': 24, '5': 16, '4': 10, '3': 3, '2': 8, '1': 15}",42
"{'Males': 6.4, 'Females': 6.8, 'Aged under 18': 10.0, 'Males under 18': 10.0, 'Females under 18': 10.0, 'Aged 18-29': 6.6, 'Males Aged 18-29': 6.8, 'Females Aged 18-29': 5.8, 'Aged 30-44': 6.4, 'Males Aged 30-44': 6.1, 'Females Aged 30-44': 7.0, 'Aged 45+': 6.6, 'Males Aged 45+': 6.6, 'Females Aged 45+': 6.9, 'Top 1000 voters': 6.3, 'US users': 6.3, 'Non-US users': 6.8, 'IMDb users': 6.4}","{'Males': 100, 'Females': 35, 'Aged under 18': 2, 'Males under 18': 1, 'Females under 18': 1, 'Aged 18-29': 51, 'Males Aged 18-29': 37, 'Females Aged 18-29': 12, 'Aged 30-44': 44, 'Males Aged 30-44': 29, 'Females Aged 30-44': 14, 'Aged 45+': 34, 'Males Aged 45+': 28, 'Females Aged 45+': 6, 'Top 1000 voters': 28, 'US users': 72, 'Non-US users': 40, 'IMDb users': 178}",17,"{'10': 32, '9': 6, '8': 30, '7': 34, '6': 26, '5': 16, '4': 6, '3': 4, '2': 4, '1': 20}",42
"{'Males': 7.7, 'Females': 6.8, 'Aged 18-29': 7.7, 'Males Aged 18-29': 8.1, 'Females Aged 18-29': 4.9, 'Aged 30-44': 7.6, 'Males Aged 30-44': 7.4, 'Females Aged 30-44': 8.1, 'Aged 45+': 7.6, 'Males Aged 45+': 7.8, 'Females Aged 45+': 6.0, 'Top 1000 voters': 7.3, 'US users': 7.4, 'Non-US users': 7.9, 'IMDb users': 7.4}","{'Males': 122, 'Females': 30, 'Aged 18-29': 59, 'Males Aged 18-29': 51, 'Females Aged 18-29': 6, 'Aged 30-44': 52, 'Males Aged 30-44': 37, 'Females Aged 30-44': 14, 'Aged 45+': 36, 'Males Aged 45+': 29, 'Females Aged 45+': 7, 'Top 1000 voters': 25, 'US users': 77, 'Non-US users': 52, 'IMDb users': 192}",16,"{'10': 40, '9': 26, '8': 48, '7': 25, '6': 19, '5': 6, '4': 5, '3': 3, '2': 4, '1': 16}",42
"{'Males': 6.9, 'Females': 6.3, 'Aged 18-29': 7.6, 'Males Aged 18-29': 7.9, 'Females Aged 18-29': 5.4, 'Aged 30-44': 6.3, 'Males Aged 30-44': 6.1, 'Females Aged 30-44': 6.9, 'Aged 45+': 6.9, 'Males Aged 45+': 7.0, 'Females Aged 45+': 6.2, 'Top 1000 voters': 6.4, 'US users': 6.6, 'Non-US users': 7.0, 'IMDb users': 6.7}","{'Males': 107, 'Females': 26, 'Aged 18-29': 43, 'Males Aged 18-29': 34, 'Females Aged 18-29': 7, 'Aged 30-44': 45, 'Males Aged 30-44': 33, 'Females Aged 30-44': 11, 'Aged 45+': 35, 'Males Aged 45+': 30, 'Females Aged 45+': 5, 'Top 1000 voters': 25, 'US users': 69, 'Non-US users': 42, 'IMDb users': 169}",15,"{'10': 26, '9': 17, '8': 31, '7': 31, '6': 28, '5': 7, '4': 3, '3': 2, '2': 3, '1': 21}",42
"{'Males': 5.4, 'Females': 6.0, 'Aged under 18': 6.0, 'Females under 18': 6.0, 'Aged 18-29': 5.6, 'Males Aged 18-29': 5.7, 'Females Aged 18-29': 3.8, 'Aged 30-44': 5.3, 'Males Aged 30-44': 5.1, 'Females Aged 30-44': 6.1, 'Aged 45+': 6.0, 'Males Aged 45+': 5.9, 'Females Aged 45+': 6.7, 'Top 1000 voters': 6.3, 'US users': 5.4, 'Non-US users': 5.8, 'IMDb users': 5.6}","{'Males': 98, 'Females': 26, 'Aged under 18': 1, 'Females under 18': 1, 'Aged 18-29': 37, 'Males Aged 18-29': 31, 'Females Aged 18-29': 4, 'Aged 30-44': 46, 'Males Aged 30-44': 34, 'Females Aged 30-44': 11, 'Aged 45+': 33, 'Males Aged 45+': 26, 'Females Aged 45+': 7, 'Top 1000 voters': 24, 'US users': 63, 'Non-US users': 42, 'IMDb users': 156}",14,"{'10': 16, '9': 5, '8': 6, '7': 29, '6': 31, '5': 20, '4': 11, '3': 9, '2': 5, '1': 24}",42
"{'Males': 6.9, 'Females': 7.2, 'Aged under 18': 8.0, 'Males under 18': 8.0, 'Aged 18-29': 7.1, 'Males Aged 18-29': 7.2, 'Females Aged 18-29': 5.4, 'Aged 30-44': 6.7, 'Males Aged 30-44': 6.5, 'Females Aged 30-44': 7.2, 'Aged 45+': 7.1, 'Males Aged 45+': 6.8, 'Females Aged 45+': 8.7, 'Top 1000 voters': 7.1, 'US users': 6.6, 'Non-US users': 7.2, 'IMDb users': 6.9}","{'Males': 126, 'Females': 35, 'Aged under 18': 1, 'Males under 18': 1, 'Aged 18-29': 50, 'Males Aged 18-29': 42, 'Females Aged 18-29': 6, 'Aged 30-44': 56, 'Males Aged 30-44': 38, 'Females Aged 30-44': 16, 'Aged 45+': 47, 'Males Aged 45+': 38, 'Females Aged 45+': 8, 'Top 1000 voters': 31, 'US users': 90, 'Non-US users': 45, 'IMDb users': 209}",13,"{'10': 35, '9': 19, '8': 48, '7': 44, '6': 19, '5': 10, '4': 2, '3': 4, '2': 4, '1': 24}",42
