name,skid
The Tonight Show,45
Spade in America,124
Fuzzy Memories,126
Leg Up,123
Unfrozen Cave Man Lawyer,105
The Real World,112
Inside Politics,127
O.J. Today,122
Zagat's,121
Ricki Lake,116
Deep Thoughts,98
Good Morning Brooklyn,117
Entertainment Tonight,48
Christopher Walken's Celebrity Psychic Friends Network,114
Office Space,111
Theatre Stories,106
Rob Schneider's Girlfriend Theater,115
The Denise Show,113
Simon,92
Schiller's Reel,18
Sassy's Sassiest Boys,110
The Chris Farley Show,104
It's Pat,101
Tori,109
Bill Swerski's Super Fans,97
"Frank Gannon, P.I. P.I.",102
The Sensitive Naked Man,107
The McLaughlin Group,94
"Lyle, The Effeminate Heterosexual",88
Live With Regis & Kathie Lee,91
Tales From The Barbecue,103
"Toonces, The Cat Who Could Drive A Car",86
Pumping Up With Hans & Franz,74
Middle-Aged Man,90
Cooking with The Anal Retentive Chef,82
Lothar Of The Hill People,83
Tales of Ribaldry,81
Mr. Short-Term Memory,76
The Bob Waltman Special,85
Attitudes,78
Plug Away,77
As World Turn,79
Learning to Feel,75
Actors On Film,66
The Limits Of The Imagination,60
The Further Adventures Of Biff And Salena,65
"Craig Sundberg, Idiot Savant",62
That Black Girl,64
Fernando's Hideaway,57
The Joe Franklin Show,58
First Draft Theater,55
Strictly From Blackwell,59
Mister Robinson's Neighborhood,32
Lifestyles of The Relatives of The Rich and Famous,53
Book Beat,47
Tippi Turtle,56
Rich Hall's Election Report,54
"Hello, Trudy!",51
Unanswered Questions of the Universe,50
I Married A Monkey,33
Fascinating People and Their Friends,49
Larry's Corner,46
Late Night with David Letterman,42
The David Susskind Show,24
A Few Minutes with Andy Rooney,34
Speaking as a Woman,40
The Interesting Four,44
Focus On Film,39
Looks at Books,4
The Uncle Tom Show,38
The Bizarro World,35
Cheap Laffs,36
The Mr. Bill Show,9
Rocket Report,30
SNL Sports,29
What's It All About,28
The Franken and Davis Show,19
What If?,22
The Bel Airabs,27
Great Moments In Rock & Roll,17
Woman To Woman,26
On The Spot,25
Black Perspective,2
X-Police,20
Consumer Probe,15
Tomorrow,10
Crossroads,14
More Insects To Worry About,21
A Film by Gary Weis,5
How Your Children Grow,16
Home Movie,6
Baba Wawa At Large,12
Mr. Mike's Least-Loved Bedtime Tales,13
Not For Ladies Only,11
Great Moments In Herstory,8
Bisexual Minute,7
A Film by Albert Brooks,1
Minute Mystery,3
